team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2025/2026,Spain,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,3,1,15,3,2,0,2,2,2,0,2,0,0,0,2,0,45,45,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10,10,0,1,1,0,68,68,0,25,25,0,10,10,0,15,15,0,10,10,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,100,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,10.00,10.00,0.00,1,1,0.00,100,100,100,100,100,0,0,0,1.89,2.89,0.00,0.00,0.69,0.00,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Barcelona,FC Barcelona,2025/2026,Spain,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,3,1,10,1,1,3,0,3,3,0,3,0,3,0,0,0,3,30,0,30,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,0,6,1,0,1,71,0,71,24,0,24,8,0,8,16,0,16,17,0,17,2,0,2,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,2,0,2,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,1,1,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,100,0,100,0,100,0,100,0,0,0,0,0,0,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,6.00,0.00,6.00,1,0,1.00,100,100,100,0,0,0,0,0,1.67,0.00,2.67,0.00,0.00,0.50,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid CF,Real Madrid,2025/2026,Spain,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,5,2,13,5,1,0,1,1,1,0,1,0,0,0,1,0,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,7,7,0,1,1,0,71,71,0,12,12,0,5,5,0,7,7,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,7.00,7.00,0.00,1,1,0.00,100,0,0,0,0,0,0,0,0.77,1.77,0.00,0.00,0.28,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla FC,Sevilla FC,2025/2026,Spain,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,16,17,19,16,2,3,-1,5,0,5,0,2,0,3,0,-1,45,0,45,30,0,30,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,54,0,54,10,0,10,6,0,6,4,0,4,12,0,12,0,0,0,2,0,2,-2,0,-2,0,0,0,0,0,0,1,0,1,0,0,0,5,0,5,2,0,2,3,0,3,2,0,2,0,0,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,1.00,0.00,1.00,2,0,2.00,100,100,100,100,100,0,0,0,0.26,0.00,1.26,0.00,0.00,0.95,200,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,100,0,100,0
Club Atlético de Madrid,Atlético Madrid,2025/2026,Spain,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,14,8,17,14,1,2,-1,3,0,3,0,1,0,2,0,-1,90,0,90,45,0,45,0,0,0,1,0,1,0,0,0,1,0,1,3,0,3,3,0,3,60,0,60,15,0,15,4,0,4,11,0,11,11,0,11,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,3,0,3,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,3.00,0.00,3.00,3,0,3.00,0,0,0,0,0,0,0,0,0.63,0.00,1.63,0.28,0.00,1.28,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,0,100,0
Deportivo Alavés,Deportivo Alavés,2025/2026,Spain,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,6,3,8,6,2,1,1,3,3,0,2,0,1,0,1,0,45,45,0,90,90,0,0,0,0,1,1,0,0,0,0,1,1,0,10,10,0,0,0,0,62,62,0,15,15,0,4,4,0,11,11,0,15,15,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,3,3,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,10.00,10.00,0.00,0,0,0.00,100,100,100,100,100,0,0,0,0.71,1.71,0.00,0.00,0.85,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Reial Club Deportiu Espanyol,RCD Espanyol,2025/2026,Spain,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,7,4,11,7,2,1,1,3,3,0,2,0,1,0,1,0,45,45,0,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,40,40,0,9,9,0,5,5,0,4,4,0,14,14,0,0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,1.00,1.00,0.00,3,3,0.00,0,0,0,0,0,0,0,0,0.28,1.28,0.00,0.63,1.63,0.00,100,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real Club Celta de Vigo,Celta de Vigo,2025/2026,Spain,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,18,7,17,0,2,-2,2,2,0,0,0,2,0,-2,0,0,0,0,45,45,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,0,3,3,0,69,69,0,11,11,0,3,3,0,8,8,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,9.00,9.00,0.00,3,3,0.00,100,100,100,100,100,100,0,0,0.42,1.42,0.00,0.06,1.06,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,100,100,0,0
Real Betis Balompié,Real Betis,2025/2026,Spain,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,10,14,4,10,1,1,0,2,0,2,0,1,0,1,0,0,90,0,90,90,0,90,0,0,0,1,0,1,0,0,0,1,0,1,3,0,3,1,0,1,32,0,32,12,0,12,4,0,4,8,0,8,13,0,13,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,2,0,2,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,3.00,0.00,3.00,1,0,1.00,0,0,0,0,0,0,0,0,0.25,0.00,1.25,0.00,0.00,0.96,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,100,0,0,0,0
Athletic Club Bilbao,Athletic Club Bilbao,2025/2026,Spain,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,8,5,6,8,3,2,1,5,5,0,3,0,2,0,1,0,30,30,0,45,45,0,0,0,0,1,1,0,0,0,0,1,1,0,10,10,0,0,0,0,46,46,0,6,6,0,3,3,0,3,3,0,8,8,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,5,5,0,3,3,0,2,2,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,10.00,10.00,0.00,0,0,0.00,100,100,100,100,100,0,0,0,0.00,0.95,0.00,0.26,1.26,0.00,200,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
